id,subject,title,sub_title,youtube_id,content,order
1,언어,독해력 끌어올리기,기초부터 시작하는 제대로 된 글읽기 훈련,dPBQf5upilw, ,1
2,자료,사칙연산 정복하기,"유효숫자, 보수, 덧셈, 뺄셈, 곱셈, 나눗셈",hqEu18Y8qCk, ,1
3,상황,법조문과 친해지기,"법조문의 체계, 형식, 내용",jmA_KHFKGvo, ,1
4,언어,핵심논지 파악하기,"논지 파악하기, 주장 비교하기, 빈칸 채우기",7g2i0xDFt9g, ,2
5,자료,곱셈·분수 비교하기,"분수, 비율과 증가율, 곱셈·분수 비교하기",kheVM68VzqQ, ,2
6,언어,논리와 명제,"명제의 개념, 논리 연산자, 논리 법칙 및 공식",RB5ifzRYFQ0, ,3
7,자료,비율 심화개념,"변화율, 배율, 지수, 전체값, 여사건, 전체비",AH7PZ-hZ4dE, ,3
8,상황,규칙적용 및 계산비교,"규칙지침형 문제, 계산비교형 문제 풀이법",qlX9fNN0ZMc, ,3
9,언어,논증과 추론,"논증, 추론, 강화/약화, 실험 가설",2CwCOs5M5ek, ,4
10,자료,통계와 가중평균,"대푯값, 자료 분포, 분산 및 표준편차, 가중평균",xAqcuE1eHOU, ,4
11,상황,퍼즐 정복하기,퍼즐형 문제 풀이법,EnrGsRiVO6w, ,3
