id,year,exam,order,is_active
1,2004,외시,1,1
2,2005,외시,1,1
3,2005,견습,2,1
4,2005,입시,3,1
5,2006,행시,1,1
6,2006,견습,2,1
7,2006,입시,3,1
8,2007,행시,1,1
9,2007,입시,2,1
10,2008,행시,1,1
11,2008,입시,2,1
12,2009,행시,1,1
13,2009,입시,2,1
14,2010,행시,1,1
15,2010,입시,2,1
16,2011,행시,1,1
17,2011,입시,2,1
18,2011,민경,3,1
19,2012,행시,1,1
20,2012,입시,2,1
21,2012,민경,3,1
22,2013,행시,1,1
23,2013,외시,2,1
24,2013,입시,3,1
25,2013,민경,4,1
26,2014,행시,1,1
27,2014,입시,2,1
28,2014,민경,3,1
29,2015,행시,1,1
30,2015,입시,2,1
31,2015,민경,3,1
32,2016,행시,1,1
33,2016,입시,2,1
34,2016,민경,3,1
35,2017,행시,1,1
36,2017,입시,2,1
37,2017,민경,3,1
38,2018,행시,1,1
39,2018,입시,2,1
40,2018,민경,3,1
41,2019,행시,1,1
42,2019,입시,2,1
43,2019,민경,3,1
44,2020,행시,1,1
45,2020,입시,2,1
46,2020,민경,3,1
47,2020,칠급,4,1
48,2020,칠예,5,1
49,2021,행시,1,1
50,2021,입시,2,1
51,2021,민경,3,1
52,2021,칠급,4,1
53,2022,행시,1,1
54,2022,입시,2,1
55,2022,칠급,3,1
56,2023,행시,1,1
57,2023,입시,2,1
58,2023,칠급,3,1
59,2024,행시,1,1
60,2024,입시,2,1
61,2024,칠급,3,1
