id,year,round,exam_id,subject_id
1,2023,1,11,1
2,2023,1,11,2
3,2023,1,11,3
4,2023,1,11,4
5,2023,2,11,1
6,2023,2,11,2
7,2023,2,11,3
8,2023,2,11,4
9,2023,3,11,1
10,2023,3,11,2
11,2023,3,11,3
12,2023,3,11,4
13,2023,4,11,1
14,2023,4,11,2
15,2023,4,11,3
16,2023,4,11,4
17,2023,5,11,1
18,2023,5,11,2
19,2023,5,11,3
20,2023,5,11,4
21,2023,6,11,1
22,2023,6,11,2
23,2023,6,11,3
24,2023,6,11,4
25,2024,1,11,1
26,2024,1,11,2
27,2024,1,11,3
28,2024,1,11,4
29,2024,2,11,1
30,2024,2,11,2
31,2024,2,11,3
32,2024,2,11,4
33,2024,3,11,1
34,2024,3,11,2
35,2024,3,11,3
36,2024,3,11,4
37,2024,4,11,1
38,2024,4,11,2
39,2024,4,11,3
40,2024,4,11,4
41,2024,5,11,1
42,2024,5,11,2
43,2024,5,11,3
44,2024,5,11,4
45,2024,6,11,1
46,2024,6,11,2
47,2024,6,11,3
48,2024,6,11,4
