id,year,exam_id,subject_id
1,2004,7,1
2,2004,7,2
3,2005,7,1
4,2005,7,2
5,2005,8,1
6,2005,8,2
7,2005,8,3
8,2005,2,1
9,2005,2,2
10,2006,5,1
11,2006,5,2
12,2006,5,3
13,2006,8,1
14,2006,8,2
15,2006,8,3
16,2006,2,1
17,2006,2,2
18,2006,2,3
19,2007,5,1
20,2007,5,2
21,2007,5,3
22,2007,2,1
23,2007,2,2
24,2007,2,3
25,2008,5,1
26,2008,5,2
27,2008,5,3
28,2008,2,1
29,2008,2,2
30,2008,2,3
31,2009,5,1
32,2009,5,2
33,2009,5,3
34,2009,2,1
35,2009,2,2
36,2009,2,3
37,2010,5,1
38,2010,5,2
39,2010,5,3
40,2010,2,1
41,2010,2,2
42,2010,2,3
43,2011,1,1
44,2011,1,2
45,2011,1,3
46,2011,2,1
47,2011,2,2
48,2011,2,3
49,2011,4,1
50,2011,4,2
51,2011,4,3
52,2012,1,1
53,2012,1,2
54,2012,1,3
55,2012,2,1
56,2012,2,2
57,2012,2,3
58,2012,4,1
59,2012,4,2
60,2012,4,3
61,2013,1,1
62,2013,1,2
63,2013,1,3
64,2013,6,1
65,2013,6,2
66,2013,6,3
67,2013,2,1
68,2013,2,2
69,2013,2,3
70,2013,4,1
71,2013,4,2
72,2013,4,3
73,2014,1,1
74,2014,1,2
75,2014,1,3
76,2014,2,1
77,2014,2,2
78,2014,2,3
79,2014,4,1
80,2014,4,2
81,2014,4,3
82,2015,1,1
83,2015,1,2
84,2015,1,3
85,2015,2,1
86,2015,2,2
87,2015,2,3
88,2015,4,1
89,2015,4,2
90,2015,4,3
91,2016,1,1
92,2016,1,2
93,2016,1,3
94,2016,2,1
95,2016,2,2
96,2016,2,3
97,2016,4,1
98,2016,4,2
99,2016,4,3
100,2017,1,1
101,2017,1,2
102,2017,1,3
103,2017,1,4
104,2017,2,1
105,2017,2,2
106,2017,2,3
107,2017,2,4
108,2017,4,1
109,2017,4,2
110,2017,4,3
111,2018,1,1
112,2018,1,2
113,2018,1,3
114,2018,1,4
115,2018,2,1
116,2018,2,2
117,2018,2,3
118,2018,2,4
119,2018,4,1
120,2018,4,2
121,2018,4,3
122,2019,1,1
123,2019,1,2
124,2019,1,3
125,2019,1,4
126,2019,2,1
127,2019,2,2
128,2019,2,3
129,2019,2,4
130,2019,4,1
131,2019,4,2
132,2019,4,3
133,2020,1,1
134,2020,1,2
135,2020,1,3
136,2020,1,4
137,2020,2,1
138,2020,2,2
139,2020,2,3
140,2020,2,4
141,2020,4,1
142,2020,4,2
143,2020,4,3
144,2020,9,1
145,2020,9,2
146,2020,9,3
147,2020,10,1
148,2020,10,2
149,2020,10,3
150,2021,1,1
151,2021,1,2
152,2021,1,3
153,2021,1,4
154,2021,2,1
155,2021,2,2
156,2021,2,3
157,2021,2,4
158,2021,4,1
159,2021,4,2
160,2021,4,3
161,2021,3,1
162,2021,3,2
163,2021,3,3
164,2022,1,1
165,2022,1,2
166,2022,1,3
167,2022,1,4
168,2022,2,1
169,2022,2,2
170,2022,2,3
171,2022,2,4
172,2022,3,1
173,2022,3,2
174,2022,3,3
175,2023,1,1
176,2023,1,2
177,2023,1,3
178,2023,1,4
179,2023,2,1
180,2023,2,2
181,2023,2,3
182,2023,2,4
183,2023,3,1
184,2023,3,2
185,2023,3,3
186,2024,1,1
187,2024,1,2
188,2024,1,3
189,2024,1,4
190,2024,2,1
191,2024,2,2
192,2024,2,3
193,2024,2,4
