chapter,question_num,problem
1,1,4787
1,2,4794
1,3,4790
1,4,4407
1,5,4829
1,6,4470
1,7,4460
1,8,4867
1,9,4877
1,10,4874
2,1,4788
2,2,4801
2,3,4795
2,4,4833
2,5,4469
2,6,4836
2,7,4750
2,8,4869
2,9,4879
2,10,4883
3,1,4789
3,2,4800
3,3,4401
3,4,4835
3,5,4468
3,6,4848
3,7,4870
3,8,4889
3,9,4892
3,10,4880
4,1,4791
4,2,4803
4,3,4717
4,4,4798
4,5,4837
4,6,4466
4,7,4864
4,8,4886
4,9,4896
4,10,4893
5,1,4806
5,2,4812
5,3,4802
5,4,4841
5,5,4464
5,6,4465
5,7,4756
5,8,4891
5,9,4901
5,10,4898
6,1,4807
6,2,4821
6,3,4815
6,4,4845
6,5,4463
6,6,4448
6,7,4887
6,8,4902
6,9,4903
6,10,4894
7,1,4808
7,2,4814
7,3,4817
7,4,4408
7,5,4846
7,6,4462
7,7,4862
7,8,4888
7,9,4478
7,10,4483
8,1,4809
8,2,4396
8,3,4820
8,4,4847
8,5,4461
8,6,4850
8,7,4840
8,8,4890
8,9,4479
8,10,4484
9,1,4810
9,2,4404
9,3,4799
9,4,4849
9,5,4450
9,6,4857
9,7,4476
9,8,4485
9,9,4489
9,10,4899
10,1,4397
10,2,4400
10,3,4427
10,4,4409
10,5,4851
10,6,4449
10,7,4452
10,8,4482
10,9,4498
10,10,4492
11,1,4398
11,2,4410
11,3,4406
11,4,4852
11,5,4446
11,6,4456
11,7,4439
11,8,4477
11,9,4499
11,10,4501
12,1,4399
12,2,4402
12,3,4430
12,4,4854
12,5,4441
12,6,4844
12,7,4502
12,8,4480
12,9,4504
12,10,4900
13,1,4405
13,2,4413
13,3,4424
13,4,4727
13,5,4855
13,6,4440
13,7,4832
13,8,4481
13,9,4506
13,10,4507
14,1,4416
14,2,4403
14,3,4411
14,4,4856
14,5,4438
14,6,4458
14,7,4757
14,8,4496
14,9,4509
14,10,4510
15,1,4417
15,2,4425
15,3,4412
15,4,4860
15,5,4437
15,6,4865
15,7,4497
15,8,4767
15,9,4512
15,10,4488
16,1,4418
16,2,4730
16,3,4420
16,4,4426
16,5,4861
16,6,4436
16,7,4472
16,8,4775
16,9,4875
16,10,4782
17,1,4811
17,2,4792
17,3,4822
17,4,4422
17,5,4804
17,6,4805
17,7,4428
17,8,4818
17,9,4442
17,10,4834
17,11,4853
17,12,4444
17,13,4467
17,14,4445
17,15,4453
17,16,4838
17,17,4839
17,18,4500
17,19,4882
17,20,4487
17,21,4505
17,22,4490
17,23,4872
17,24,4884
17,25,4885
18,1,4793
18,2,4813
18,3,4823
18,4,4423
18,5,4819
18,6,4429
18,7,4824
18,8,4825
18,9,4842
18,10,4447
18,11,4830
18,12,4831
18,13,4443
18,14,4459
18,15,4858
18,16,4859
18,17,4895
18,18,4768
18,19,4491
18,20,4493
18,21,4503
18,22,4881
18,23,4873
18,24,4514
18,25,4515
